230929-COI-COL-073-S3_S117_L001_R1_001	72.0	32.0	128.0	200.0	13.0	4.0	6.0	0.0	1.0	0.0	1.0	3.0	6.0	0.0	3.0	1.0	0.0	3.0	98.0	115.0	8.0	1.0	59.0	2.0	2.0	2.0	26519.0	35395.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S3_S117_L001_R2_001	27.0	25.0	115.0	190.0	13.0	10.0	7.0	0.0	1.0	0.0	0.0	3.0	4.0	4.0	3.0	1.0	0.0	2.0	26.0	19.0	7.0	1.0	52.0	2.0	1.0	0.0	4838.0	57323.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B1_S124_L001_R1_001	90.0	118.0	96.0	644.0	7.0	9.0	6.0	1.0	7.0	1.0	1.0	45.0	4.0	3.0	1.0	2.0	9.0	5.0	85.0	63.0	11.0	1.0	87.0	2.0	5.0	11.0	12488.0	88674.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B1_S124_L001_R2_001	23.0	89.0	90.0	541.0	8.0	18.0	5.0	2.0	5.0	1.0	1.0	36.0	3.0	5.0	3.0	1.0	8.0	4.0	34.0	16.0	8.0	0.0	61.0	2.0	3.0	6.0	5886.0	95617.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B2_S125_L001_R1_001	119.0	68.0	256.0	624.0	33.0	11.0	2.0	2.0	3.0	3.0	2.0	35.0	5.0	6.0	6.0	0.0	5.0	6.0	87.0	73.0	14.0	0.0	26.0	2.0	3.0	3.0	18425.0	58217.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B2_S125_L001_R2_001	37.0	53.0	214.0	538.0	31.0	13.0	2.0	2.0	2.0	2.0	2.0	25.0	4.0	10.0	5.0	0.0	5.0	5.0	31.0	12.0	9.0	0.0	17.0	0.0	3.0	0.0	4320.0	72694.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-074-B3_S126_L001_R1_001	159.0	121.0	150.0	1300.0	34.0	12.0	12.0	1.0	10.0	1.0	2.0	5.0	8.0	5.0	4.0	1.0	17.0	10.0	113.0	79.0	20.0	1.0	151.0	3.0	5.0	8.0	12508.0	84140.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
