Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>100	>500	>1k	>10k+	>5k	>50
230929-COI-COL-072-B2_S114_L001_R2_001										6.011706544222277	7.188228908416096	5.106576495958455	15.932929423328005	21.78033359250077	12.803849369929733	2.2914313377440694
230929-COI-COL-072-S1_S110_L001_R1_001										18.05244849436044	22.87916232328793	16.556764543974513	0.0	0.0	0.0	3.208048817624943
230929-COI-COL-072-S1_S110_L001_R2_001										9.327820658475737	6.664402253481535	5.338549291980463	11.850689279565232	12.043945232434206	7.654106981810516	3.7843029316342425
230929-COI-COL-072-S2_S111_L001_R1_001										7.9077107861622045	35.87938715939721	0.0	0.0	0.0	0.0	6.444044077596682
230929-COI-COL-072-S2_S111_L001_R2_001										8.473345344338766	5.452437815114314	6.363039622351644	13.99421795784975	0.0	9.08367201575397	1.9175709836454797
230929-COI-COL-072-S3_S112_L001_R1_001										8.172372027793715	32.28150698030216	0.0	0.0	0.0	0.0	12.201185695161598
230929-COI-COL-072-S3_S112_L001_R2_001										6.937804126559147	8.265867703618708	5.125262956588258	35.00988079301332	0.0	0.0	2.5435073627844713
230929-COI-COL-073-B1_S118_L001_R1_001										22.306390703616135	29.882674615358756	0.0	0.0	0.0	0.0	13.531079460773876
230929-COI-COL-073-B1_S118_L001_R2_001										8.135456470825536	13.235244680016583	7.602057396429812	22.89357791996773	0.0	0.0	3.9287755353601
230929-COI-COL-073-B2_S119_L001_R1_001										10.831661572846121	35.14736175999354	0.0	0.0	0.0	0.0	15.455145207545137
230929-COI-COL-073-B2_S119_L001_R2_001										8.019064801475636	10.726643598615917	5.883699325461473	33.386291115210106	0.0	0.0	3.70255678375722
230929-COI-COL-073-B3_S120_L001_R1_001										16.40646976090014	14.418073136427568	0.0	0.0	0.0	0.0	19.321378340365683
230929-COI-COL-073-B3_S120_L001_R2_001										9.062939521800281	14.235232067510548	6.077707454289732	22.593178621659636	0.0	0.0	5.335794655414908
230929-COI-COL-073-S1_S115_L001_R1_001										21.64503022495293	23.993657714795365	0.0	0.0	0.0	0.0	12.099890991973044
230929-COI-COL-073-S1_S115_L001_R2_001										8.034882568625507	16.151025666435437	5.78337132097909	19.157665246259043	0.0	0.0	3.7320384501040533
230929-COI-COL-073-S2_S116_L001_R1_001										17.508425527860812	37.803527408271904	3.27732193257196	0.0	0.0	0.0	12.407855092829667
230929-COI-COL-073-S2_S116_L001_R2_001										6.915482726179276	7.621678912958045	9.724785938002405	16.503316621214466	0.0	15.577997165688155	3.2844672565528574
230929-COI-COL-073-S3_S117_L001_R1_001										11.052430034783162	40.835115039729395	1.643424705619555	0.0	0.0	0.0	12.791588218399975
230929-COI-COL-073-S3_S117_L001_R2_001										6.785908032038804	8.094265564667964	6.597632191977534	15.598174681686187	0.0	20.083288125857614	2.037527523374924
230929-COI-COL-074-B1_S124_L001_R1_001										20.342324056364415	34.90085483430266	0.0	0.0	0.0	0.0	11.566610718607285
230929-COI-COL-074-B1_S124_L001_R2_001										8.073109801319333	11.870096412818611	9.948670908310238	19.130332956009212	0.0	5.074358874273	3.3295600921191304
230929-COI-COL-074-B2_S125_L001_R1_001										9.514839304936183	42.78025526679994	0.0	0.0	0.0	0.0	14.326721000563841
230929-COI-COL-074-B2_S125_L001_R2_001										7.262032907888667	7.455533343585012	5.4346711774053	31.795581526474958	0.0	0.0	2.635962888923061
230929-COI-COL-074-B3_S126_L001_R1_001										12.641585760517799	41.63531553398058	0.0	0.0	0.0	0.0	9.12621359223301
230929-COI-COL-074-B3_S126_L001_R2_001										8.182645631067961	10.734223300970875	4.120145631067961	29.309263754045308	0.0	0.0	3.9158576051779934
230929-COI-COL-074-S1_S121_L001_R1_001										14.13877183845462	37.053169830973914	10.829269447469343	0.0	0.0	0.0	4.062307655887505
230929-COI-COL-074-S1_S121_L001_R2_001										7.800293546707068	8.111595094929218	6.569291226741159	16.933383835992615	0.0	17.268358505752566	3.8397803134321293
230929-COI-COL-074-S2_S122_L001_R1_001										12.642292000090166	36.10328426842188	16.908234339427	0.0	0.0	0.0	3.339494623898294
230929-COI-COL-074-S2_S122_L001_R2_001										8.064152559565404	8.377476726100578	3.8410387034240245	12.88799224579041	13.138200752879653	16.508126141153664	3.4127538714694676
230929-COI-COL-074-S3_S123_L001_R1_001										12.671261429008144	47.004140844287576	2.9055387266209043	0.0	0.0	0.0	2.7790901258927825
230929-COI-COL-074-S3_S123_L001_R2_001										7.88983686740961	8.321985381985938	4.249228802490065	24.414306755968095	0.0	8.831948420087263	3.6378289747936527
230929-COI-COL-075-B1_S130_L001_R1_001										16.19250856404785	30.692424327511652	0.0	0.0	0.0	0.0	13.630594709945527
230929-COI-COL-075-B1_S130_L001_R2_001										8.138372550120739	12.912899421575785	7.468972875835346	27.61498287190431	0.0	0.0	3.5940922109282867
230929-COI-COL-075-B2_S131_L001_R1_001										12.637125815107824	27.910404182250463	0.8801078931635221	0.0	0.0	0.0	14.73798367698789
230929-COI-COL-075-B2_S131_L001_R2_001										8.0322011039584	10.986749718448898	5.491984483405864	22.446227215216272	0.0	0.0	4.596582456237921
230929-COI-COL-075-B3_S132_L001_R1_001										22.1550152493568	4.7281525276447836	0.0	0.0	0.0	0.0	22.40207186791842
230929-COI-COL-075-B3_S132_L001_R2_001										7.7473547903426425	14.351433780307033	9.693138641358983	11.064728834063144	0.0	0.0	3.813191119592442
230929-COI-COL-075-S1_S127_L001_R1_001										24.914149629487873	25.159740163089122	0.0	1.183299843715115	0.0	0.0	5.694298259603015
230929-COI-COL-075-S1_S127_L001_R2_001										9.236755653366505	13.858322967499124	5.148895905761278	11.811735187488704	0.0	7.3655896830712635	4.877789472565093
230929-COI-COL-075-S2_S128_L001_R1_001										22.426994301994302	1.295405982905983	0.0	0.0	0.0	0.0	0.0
230929-COI-COL-075-S2_S128_L001_R2_001										8.44017094017094	16.123575498575498	11.05324074074074	0.0	0.0	0.0	4.852207977207977
230929-COI-COL-075-S3_S129_L001_R1_001										23.70680628272251	28.676439790575913	0.812565445026178	0.0	0.0	0.0	8.06282722513089
230929-COI-COL-075-S3_S129_L001_R2_001										9.26806282722513	11.180104712041885	4.870157068062827	21.69738219895288	0.0	5.700523560209424	3.696335078534031
230929-COI-COL-076-B1_S136_L001_R1_001										19.474767637701955	1.4596718857214146	0.0	0.0	0.0	0.0	0.34620422930572015
